Program,Mainline KLEE,PoolUnsimp
base64,947.08,1209.91
chmod,1853.09,2140.07
csplit,2016.06,2320.07
dircolors,188.89,377.22
factor,169.42,508.30
ln,102.99,321.70
mkfifo,2688.75,3007.57
